NO,Volume,% Change,Floor price,Sales,% Unique owners,% Items listed
1,"6,122 ETH",+11%,24.76 ETH,236,56%,2%
2,"4,875 ETH",-38%,4.96 ETH,978,59%,2%
3,"3,167 ETH",+55%,2.74 ETH,"1,214",36%,2%
4,"2,798 ETH",+0.65%,3.60 ETH,754,29%,0.75%
5,"2,775 ETH",+103%,36.97 ETH,77,25%,0.47%
6,"1,884 ETH",+6%,3.95 ETH,493,43%,2%
7,"1,698 ETH",+78%,â€”,25,37%,0%
8,"1,389 ETH",0.34 ETH,"7,815",42%,4%,
9,"1,040 ETH",+234%,0.29 ETH,"3,265",29%,7%
10,769 ETH,-20%,4.11 ETH,193,51%,2%
11,751 ETH,+13%,1.70 ETH,472,54%,2%
12,747 ETH,+143%,0.59 ETH,"1,258",27%,3%
13,450 ETH,+35%,0.41 ETH,952,26%,3%
14,411 ETH,-37%,52 ETH,9,18%,0.25%
15,282 ETH,+9%,3.29 ETH,74,42%,0.74%
16,238 ETH,-56%,8.35 ETH,34,65%,4%
